Frame,Time,Source,DeviceName,RSSI,Tx Power,PDU Type,Company
1,0.000000000,c8:d0:83:cb:11:9e,,-75,12,0,76
2,0.001078000,78:bd:b3:6d:ed:ea,TestPhone1,-45,8,0,76
3,0.003690000,47:ee:6f:13:89:a8,TestPhone2,-50,8,0,76
4,0.004208400,47:ee:6f:13:89:88,,-81,,3,
5,0.007579300,0e:7a:e1:f4:21:2b,,-76,,2,6
6,0.011251100,09:42:39:91:98:5f,,-75,,2,76
7,0.031332000,4e:cf:da:b9:1b:33,,-76,,3,
8,0.038690700,47:ee:6f:13:89:a8,TestPhone2,-49,8,0,76
9,0.039830800,78:bd:b3:6d:ed:ea,TestPhone1,-45,8,0,76
10,0.046406200,07:41:8b:3d:eb:9e,,-70,,2,6
11,0.054901700,64:10:c9:59:9e:45,,-79,,0,76
12,0.056394400,c8:d0:83:be:6a:23,,-81,12,0,
13,0.058385100,69:2f:63:05:37:29,TestPhone4,-33,8,0,76
14,0.059673000,11:ba:ec:b4:5d:56,,-75,,2,6
15,0.062833200,15:a2:20:fc:ff:8d,,-64,,2,6
16,0.064617200,79:18:bb:42:de:98,TestPhone3,-55,8,0,76
17,0.068690600,47:ee:6f:13:89:a8,TestPhone2,-51,8,0,76
18,0.083704700,35:ca:84:ab:08:86,,-70,,2,6
19,0.084791200,1b:bf:ab:8c:9e:db,,-76,,2,6
20,0.092646600,17:71:6e:7d:f9:7e,,-81,,2,76
21,0.108204000,0e:7a:e1:f4:21:2b,,-76,,2,6
22,0.129634500,69:2f:63:05:37:29,TestPhone4,-33,8,0,76
23,0.138367400,79:18:bb:42:de:98,TestPhone3,-54,8,0,76
24,0.139941400,47:ee:6f:13:89:a8,TestPhone2,-52,8,0,76
25,0.146081000,78:bd:b3:6d:ed:ea,TestPhone1,-45,8,0,76
26,0.147032000,07:41:8b:3d:eb:9e,,-70,,2,6
27,0.160371900,44:16:7f:b9:bd:39,,-82,,0,76
28,0.160883300,69:2f:63:05:37:29,TestPhone4,-33,8,0,76
29,0.163423300,11:ba:ec:b4:5d:56,,-75,,2,6
30,0.172208500,15:a2:20:fc:ff:8d,,-66,,2,6
31,0.183580900,78:bd:b3:6d:ed:ea,TestPhone1,-45,8,0,76
32,0.186241200,c8:d0:83:cb:11:9e,,-75,12,0,76
33,0.192676600,62:5e:37:51:ef:21,,-54,12,0,76
34,0.195884200,69:2f:63:05:37:29,TestPhone4,-32,8,0,76
35,0.196286200,0e:76:27:2e:a9:3e,,-60,,2,6
36,0.197494800,09:42:39:91:98:5f,,-76,,2,76
37,0.203691400,47:ee:6f:13:89:a8,TestPhone2,-45,8,0,76
