Frame,Time,Source,DeviceName,RSSI,Tx Power,PDU Type,Company
1,0.000000000,72:b8:f4:df:ca:07,TestPhone4,-43,8,0,76
2,0.000519000,72:b8:f4:df:ca:07,,-73,,3,
3,0.006277700,62:5e:37:51:ef:21,,-55,12,0,76
4,0.017864600,64:16:7f:b8:7c:cc,,-54,,0,76
5,0.023362300,24:93:90:41:50:c0,,-69,,2,6
6,0.033752100,72:b8:f4:df:ca:07,TestPhone4,-43,8,0,76
7,0.047107600,0b:e9:ad:c4:61:0d,,-75,,2,6
8,0.052528900,54:f1:84:69:2e:94,,-78,,0,76
9,0.053698500,0a:bf:e2:3f:db:8f,,-66,,2,6
10,0.066445200,0b:fa:61:e5:74:0c,,-60,,2,6
11,0.067282300,61:21:c4:f7:2c:a9,TestPhone1,-63,8,0,76
12,0.072503000,72:b8:f4:df:ca:07,TestPhone4,-42,8,0,76
13,0.076483400,47:ee:6f:13:89:a8,TestPhone2,-51,8,0,76
14,0.093262400,31:db:62:df:06:a8,,-67,,2,6
15,0.099990200,c8:d0:83:be:6a:03,,-79,12,0,76
16,0.103532700,61:21:c4:f7:2c:a9,TestPhw\r`»,-40,8,0,
17,0.111482300,47:ee:6f:13:89:a8,TestPhone2,-50,8,0,76
18,0.126487100,24:93:90:41:50:c0,,-70,,2,6
19,0.129176900,c8:d0:83:cb:11:9e,,-77,12,0,76
20,0.131173100,21:d5:79:0b:d0:12,,-76,,2,6
21,0.133533200,61:21:c4:f7:2c:a9,,-72,,0,
22,0.135004500,72:b8:f4:df:ca:07,TestPhone4,-43,8,0,76
23,0.141424700,21:d4:6d:da:f9:c2,,-75,,2,6
24,0.147713500,68:cc:0d:e0:7b:be,TestPhone3,-50,8,0,76
25,0.151482600,0b:e9:ad:c4:61:0d,,-75,,2,6
26,0.157488400,17:71:6e:7d:f9:7e,,-79,,2,76
27,0.160573300,0a:bf:e2:3f:db:8f,,-68,,2,6
28,0.168319700,0b:fa:61:e5:74:0c,,-61,,2,6
29,0.170621000,52:74:37:f2:60:ea,,-84,,6,
30,0.173756100,72:b8:f4:df:ca:07,TestPhone4,-42,8,0,76
31,0.174275500,72:b8:f4:df:ca:07,,-75,,3,
