Frame,Time,Source,DeviceName,RSSI,Tx Power,PDU Type,Company
1,0.000000000,35:ca:84:ab:08:86,,-70,,2,6
2,0.001415000,47:ee:6f:13:89:a8,TestPhone2,-44,8,0,76
3,0.001933200,47:ee:6f:13:89:a8,,-75,,3,
4,0.002259800,47:ee:6f:13:89:a8,,-44,,4,
5,0.007965800,79:18:bb:42:de:98,TestPhone3,-42,8,0,76
6,0.012626300,61:21:c4:f7:2c:a9,TestPhone1,-53,8,0,76
7,0.016122600,72:b8:f4:df:ca:07,TestPhone4,-59,8,0,76
8,0.016537100,07:41:8b:3d:eb:9e,,-71,,2,6
9,0.026616300,21:d5:79:0b:d0:12,,-75,,2,6
10,0.030010000,0e:76:27:2e:a9:3e,,-61,,2,6
11,0.031604800,15:a2:20:fc:ff:8d,,-66,,2,6
12,0.033914700,47:ee:6f:13:89:a8,TestPhone2,-45,8,0,76
13,0.036632500,52:74:35:d2:61:6a,,-83,,0,78
14,0.047627300,61:21:c4:f7:2c:a9,TestPhone1,-53,8,0,76
15,0.050028200,0e:7a:e1:f4:21:2b,,-75,,2,6
16,0.055392800,72:b8:f4:df:ca:07,,-75,,3,
17,0.055719000,72:b8:f4:df:ca:07,,-62,,4,
18,0.059855300,64:16:7f:b9:bd:39,,-80,,0,76
19,0.061217200,3f:3d:d5:ae:6d:47,,-84,,2,6
20,0.066414300,47:ee:6f:13:89:a8,TestPhone2,-45,8,0,76
21,0.066933900,47:ee:6f:13:89:a8,,-75,,3,
22,0.067260400,47:ee:6f:13:89:a8,,-45,,4,
23,0.073293900,0b:e9:ad:c4:61:0d,,-75,,2,6
24,0.075466100,79:18:bb:42:de:98,TestPhone3,-42,8,0,76
25,0.083877800,61:21:c4:f7:2c:a9,TestPhone1,-53,8,0,76
26,0.085293700,62:5e:37:51:ef:21,,-52,12,0,76
27,0.094873400,32:b8:f4:ff:ca:17,TastPhole8,-63,8,0,
28,0.104014100,09:42:39:91:98:5f,,-75,,2,76
29,0.106874900,35:ca:84:ab:08:86,,-70,,2,6
