Frame,Time,Source,DeviceName,RSSI,Tx Power,PDU Type,Company
1,0.000000000,61:21:c4:f7:2c:a9,TestPhone1,-50,8,0,76
2,0.002946900,72:b8:f4:df:ca:07,TestPhone4,-38,8,0,76
3,0.003497000,79:18:bb:42:de:98,TestPhone3,-49,8,0,76
4,0.013288300,47:ee:6f:13:89:a8,TestPhone2,-33,8,0,76
5,0.025495600,4a:46:e0:ca:9f:a4,,-84,,0,
6,0.035764400,0b:e9:ad:c4:61:0d,,-77,,2,6
7,0.037029900,0e:7a:e1:f4:21:2b,,-76,,2,6
8,0.037946300,72:b8:f4:df:ca:07,TestPhone4,-39,8,0,76
9,0.041889900,07:41:8b:3d:eb:9e,,-66,,2,6
10,0.050635900,0b:fa:61:e5:74:0c,,-32,,2,6
11,0.069196100,72:b8:f4:df:ca:07,TestPhone4,-40,8,0,76
12,0.080997000,79:18:bb:42:de:98,TestPhone3,-49,8,0,76
13,0.082993000,15:a2:20:fc:ff:8d,,-66,,2,6
14,0.086742400,35:ca:84:ab:08:86,,-68,,2,6
15,0.106696800,72:b8:f4:df:ca:07,TestPhone4,-40,8,0,76
16,0.110179800,c8:d0:83:cb:11:9e,,-75,12,0,76
17,0.115957500,23:b1:27:e7:f5:aa,,-61,,2,
18,0.117245800,79:18:bb:42:de:98,TestPhone3,-48,8,0,76
19,0.120788800,47:ee:6f:13:89:a8,TestPhone2,-33,8,0,76
20,0.133749800,61:21:c4:f7:2c:a9,TestPhone1,-50,8,0,76
21,0.136563400,c8:d0:83:be:6a:03,,-79,12,0,76
22,0.139195500,72:b8:f4:df:ca:07,TestPhone4,-41,8,0,76
23,0.145325400,54:f1:84:69:2e:94,,-81,,0,76
24,0.146404500,0e:7a:e1:f4:21:2b,,-75,,2,6
25,0.149390700,07:41:8b:3d:eb:9e,,-70,,2,6
26,0.150995600,79:18:bb:42:de:98,TestPhone3,-48,8,0,76
27,0.154552600,62:5e:37:51:ef:21,,-54,12,0,76
28,0.157511700,0b:fa:61:e5:74:0c,,-61,,2,6
29,0.167499700,61:21:c4:f7:2c:a9,TestPhone1,-50,8,0,76
30,0.171565200,17:71:6e:7d:f9:7e,,-82,,2,
31,0.182247200,79:18:bb:42:de:98,TestPhone3,-49,8,0,76
32,0.187366900,15:a2:20:fc:ff:8d,,-66,,2,6
33,0.190789900,47:ee:6f:13:89:a8,TestPhone2,-33,8,0,76
34,0.203749800,61:21:c4:f7:2c:a9,TestPhone1,-50,8,0,76
35,0.206694400,72:b8:f4:df:ca:07,TestPhone4,-40,8,0,76
36,0.236694800,72:b8:f4:df:ca:07,TestPhone4,-41,8,0,76
37,0.242499500,61:21:c4:f7:2c:a9,TestPhone1,-50,8,0,76
38,0.248471600,21:d5:79:0b:d0:12,,-75,,2,6
39,0.249515200,0b:e9:ad:c4:61:0d,,-75,,2,6
40,0.252269200,64:16:7f:4f:5e:91,,-81,,0,76
41,0.254746300,79:18:bb:42:de:98,TestPhone3,-50,8,0,76
42,0.255778900,0e:7a:e1:f4:21:2b,,-75,,2,6
43,0.258141500,07:41:8b:3d:eb:9e,,-70,,2,6
44,0.266887400,0b:fa:61:e5:74:0c,,-61,,2,6
45,0.272945000,72:b8:f4:df:ca:07,TestPhone4,-40,8,0,76
46,0.277499500,61:21:c4:f7:2c:a9,TestPhone1,-50,8,0,76
47,0.291427100,c8:d0:83:cb:11:9e,,-75,12,0,76
48,0.293616000,15:a2:20:fc:ff:8d,,-66,,2,6
49,0.294525000,46:5a:55:e5:4c:cd,,-81,,3,
50,0.295483100,4a:46:e0:ca:9f:a4,,-83,,0,4172
51,0.297040200,47:ee:6f:13:89:a8,TestPhone2,-33,8,0,76
52,0.301117800,35:ca:84:ab:08:86,,-70,,2,6
53,0.304194400,72:b8:f4:df:ca:07,TestPhone4,-40,8,0,76
54,0.311249800,61:21:c4:f7:2c:a9,TestPhone1,-50,8,0,76
55,0.319747000,79:18:bb:42:de:98,TestPhone3,-48,8,0,76
56,0.336614500,52:74:35:d2:60:ea,,-83,,0,
