Frame,Time,Source,DeviceName,RSSI,Tx Power,PDU Type,Company
1,0.000000000,0f:82:27:bb:84:f7,,-61,,2,6
2,0.004984000,0f:82:27:bb:84:f7,,-64,,2,6
3,0.013961000,77:91:5b:b2:9e:c5,TestPhone1,-42,,0,76
4,0.020001000,77:91:5b:b2:9e:c5,TestPhone1,-38,,0,76
5,0.028930000,77:91:5b:b2:9e:c5,TestPhone1,-43,,0,76
6,0.032911000,77:91:5b:b2:9e:c5,,-58,,3,
7,0.036901000,77:91:5b:b2:9e:c5,,-42,,4,
8,0.039969000,18:dd:8e:58:ae:76,,-77,,2,6
9,0.043902000,18:dd:8e:58:ae:76,,-79,,2,6
10,0.049878000,18:dd:8e:58:ae:76,,-89,,2,6
11,0.053855000,65:b7:15:47:c6:48,,-44,12,0,76
12,0.058841000,65:b7:15:47:c6:48,,-48,12,0,76
13,0.063828000,65:b7:15:47:c6:48,,-37,12,0,76
14,0.067817000,55:49:ac:a2:1c:e6,,-73,12,0,76
15,0.073817000,55:49:ac:a2:1c:e6,,-76,12,0,76
16,0.078788000,55:49:ac:a2:1c:e6,,-77,12,0,76
17,0.082777000,59:bb:04:ce:5b:88,TestPhone2,-37,8,0,76
18,0.086783000,59:bb:04:ce:5b:88,,-50,,3,
19,0.090755000,59:bb:04:ce:5b:88,,-37,,4,
20,0.096739000,59:bb:04:ce:5b:88,TestPhone2,-37,8,0,76
21,0.101725000,59:bb:04:ce:5b:88,TestPhone2,-38,8,0,76
22,0.105715000,60:fc:20:5f:6f:af,TestPhone4,-31,8,0,76
23,0.110703000,60:fc:20:5f:6f:af,TestPhone4,-37,8,0,76
24,0.115701000,60:fc:20:5f:6f:af,TestPhone4,-45,8,0,76
25,0.122670000,25:bd:9d:7b:5d:c1,,-80,,2,6
26,0.128660000,25:bd:9d:7b:5d:c1,,-80,,2,6
27,0.135635000,25:bd:9d:7b:5d:c1,,-82,,2,6
28,0.139624000,34:25:67:44:8e:0d,,-71,,2,6
29,0.143615000,34:25:67:44:8e:0d,,-72,,2,6
30,0.147604000,34:25:67:44:8e:0d,,-76,,2,6
31,0.151594000,1a:fe:03:15:40:da,,-79,,2,6
32,0.156579000,1a:fe:03:15:40:da,,-71,,2,6
33,0.162563000,1a:fe:03:15:40:da,,-76,,2,6
34,0.167550000,39:9f:c7:f6:5a:30,,-69,,2,6
35,0.171539000,39:9f:c7:f6:5a:30,,-81,,2,6
36,0.176525000,39:9f:c7:f6:5a:30,,-77,,2,6
37,0.181528000,60:fc:20:5f:6f:af,TestPhone4,-31,8,0,76
38,0.185501000,60:fc:20:5f:6f:af,TestPhone4,-34,8,0,76
39,0.189491000,60:fc:20:5f:6f:af,TestPhone4,-42,8,0,76
40,0.194478000,07:40:8d:da:2c:ba,,-86,,2,6
41,0.198467000,5e:f5:27:52:cb:a5,,-86,12,0,76
42,0.202456000,60:fc:20:5f:6f:af,TestPhone4,-43,8,0,76
43,0.208440000,77:91:5b:b2:9e:c5,TestPhone1,-40,,0,76
44,0.212429000,77:91:5b:b2:9e:c5,TestPhone1,-37,,0,76
45,0.215421000,77:91:5b:b2:9e:c5,TestPhone1,-42,,0,76
46,0.220408000,18:dd:8e:58:ae:76,,-77,,2,6
47,0.224397000,18:dd:8e:58:ae:76,,-79,,2,6
48,0.229386000,18:dd:8e:58:ae:76,,-87,,2,6
49,0.234386000,17:3d:66:98:1c:c8,,-81,,2,6
50,0.239358000,17:3d:66:98:1c:c8,,-75,,2,6
51,0.242406000,17:3c:66:98:1f:c8,,-90,,2,6
52,0.245342000,58:3b:e7:2b:fa:ad,TestPhone3,-37,8,0,76
53,0.249404000,58:3b:e7:2b:fa:ad,TestPhone3,-46,8,0,76
54,0.253321000,58:3b:e7:2b:fa:ad,TestPhone3,-37,8,0,76
55,0.259306000,59:bb:04:ce:5b:88,TestPhone2,-38,8,0,76
56,0.264292000,59:bb:04:ce:5b:88,TestPhone2,-36,8,0,76
57,0.269277000,59:bb:04:ce:5b:88,TestPhone2,-40,8,0,76
58,0.273269000,61:89:7a:4e:60:31,,-71,,0,76
59,0.279251000,61:89:7a:4e:60:31,,-71,,0,76
60,0.283255000,61:89:7a:4e:60:31,,-69,,0,76
61,0.287230000,1a:fe:03:15:40:da,,-78,,2,6
62,0.291253000,1a:fe:03:15:40:da,,-71,,2,6
