Frame,Time,Source,DeviceName,RSSI,Tx Power,PDU Type,Company
1,0.000000000,7a:66:39:2d:0a:4b,TestPhone1,-38,8,0,76
2,0.007181300,6c:8e:87:98:71:a3,TestPhone3,-42,8,0,76
3,0.024413300,04:9b:c3:f7:38:17,,-69,,2,6
4,0.028522200,38:fd:38:0c:5c:fb,,-72,,2,
5,0.032500700,7a:66:39:2d:0a:4b,TestPhone1,-39,8,0,76
6,0.040931700,6c:8e:87:98:71:a3,TestPhone3,-42,8,0,76
7,0.052768800,43:3b:bd:d8:dc:84,TestPhone2,-36,8,0,76
8,0.062561400,02:75:55:06:e7:23,,-83,,2,
9,0.067264200,34:1a:e0:62:60:2d,,-70,,2,6
10,0.069576400,5b:9c:cd:0d:9a:09,TestPhone4,-36,8,0,76
11,0.071252400,7a:66:39:2d:0a:4b,TestPhone1,-39,8,0,76
12,0.079682700,6c:8e:87:98:71:a3,TestPhone3,-42,8,0,76
13,0.085547500,1b:96:d0:e7:88:2f,,-61,,2,6
14,0.086520600,43:3b:bd:d8:dc:84,TestPhone2,-36,8,0,76
15,0.108753000,7a:66:39:2d:0a:4b,TestPhone1,-38,8,0,76
16,0.109576700,5b:9c:cd:0d:9a:09,TestPhone4,-36,8,0,76
17,0.113095300,67:c1:f9:3a:1e:aa,,-80,,0,
18,0.116521200,43:3b:bd:d8:dc:84,TestPhone2,-36,8,0,76
19,0.117182100,6c:8e:87:98:71:a3,TestPhone3,-42,8,0,76
20,0.126914200,04:9b:c3:f7:38:17,,-69,,2,6
21,0.134771100,08:a4:70:08:4c:f3,,-75,,2,6
22,0.136016100,6b:db:0c:33:28:25,,-73,,0,76
23,0.136748500,06:40:64:eb:56:44,,-80,,2,2
24,0.143293700,6c:9c:a5:c7:85:4d,,-79,,0,76
25,0.151413000,49:10:c0:9e:2a:03,,-85,,0,
26,0.155932300,6c:8e:87:98:71:a3,TestPhone3,-42,8,0,76
27,0.159986000,62:5e:37:51:ef:21,,-36,12,0,76
28,0.169138700,34:1a:e0:62:60:2d,,-71,,2,6
29,0.170060600,02:7d:55:02:6f:23,,-81,,2,6
30,0.171233200,12:45:8e:1c:d8:a1,,-79,,2,6
31,0.176254400,7a:66:39:2d:0a:4b,TestPhone1,-38,8,0,76
32,0.178371000,05:e1:42:95:89:3a,,-81,,2,6
33,0.184576800,5b:9c:cd:0d:9a:09,TestPhone4,-35,8,0,76
34,0.192183000,6c:8e:87:98:71:a3,TestPhone3,-42,8,0,76
35,0.193047700,1b:96:d0:e7:88:2f,,-61,,2,6
36,0.211061500,c8:d0:83:cb:11:9e,,-77,12,0,76
37,0.216256000,7a:66:39:2d:0a:4b,TestPhone1,-38,8,0,76
38,0.218326100,5b:9c:cd:0d:9a:09,TestPhone4,-33,8,0,76
39,0.222770600,43:3b:bd:d8:dc:84,TestPhone2,-36,8,0,76
40,0.223431900,6c:8e:87:98:71:a3,TestPhone3,-42,8,0,76
41,0.230038800,04:9b:c3:f7:38:17,,-69,,2,6
42,0.240498000,06:00:64:eb:58:44,,-82,,2,2050
43,0.240952700,4a:a2:6b:9d:06:9a,,-79,,3,
44,0.244146200,08:a4:70:08:4c:f3,,-75,,2,6
45,0.245180400,64:16:7f:b8:7c:cc,,-62,,0,76
46,0.257183400,6c:8e:87:98:71:a3,TestPhone3,-42,8,0,76
47,0.271308800,02:75:55:06:ef:23,,-83,,2,
48,0.276638800,34:1a:e0:62:60:2d,,-70,,2,6
49,0.280245600,05:e1:52:95:a9:3a,,-79,,2,6
50,0.284812400,09:42:39:91:98:5f,,-77,,2,76
51,0.287182400,6c:8e:87:98:71:a3,TestPhone3,-42,8,0,76
52,0.290824900,5b:9c:cd:0d:9a:09,TestPhone4,-34,8,0,76
53,0.292507100,7a:66:39:2d:0a:4b,TestPhone1,-38,8,0,76
54,0.293925700,e4:23:ed:bb:95:25,,-35,,2,
55,0.295155200,17:71:6c:7d:f9:5e,,-85,,2,
56,0.295548000,1b:96:d0:e7:88:2f,,-61,,2,6
57,0.319767900,6b:db:0c:33:28:25,,-72,,0,76
58,0.323432300,6c:8e:87:98:71:a3,TestPhone3,-42,8,0,76
59,0.325273200,43:3b:bd:d8:dc:84,TestPhone2,-36,8,0,76
60,0.327507700,7a:66:39:2d:0a:4b,TestPhone1,-38,8,0,76
61,0.335157200,c8:d0:83:ae:6a:01,,-84,,0,
62,0.336288300,04:9b:c3:f7:38:17,,-69,,2,6
63,0.341122500,06:00:64:eb:54:44,,-82,,2,23
64,0.344770900,08:a4:70:08:4c:f3,,-75,,2,6
