Frame,Time,Source,DeviceName,RSSI,Tx Power,PDU Type,Company
1,0.000000000,c8:d0:83:cb:11:9e,,-78,12,0,76
2,0.000702300,65:1d:20:38:ce:c9,TestPhone4,-31,8,0,76
3,0.002542500,0c:59:66:52:45:c4,,-79,,2,6
4,0.006266500,37:ba:9f:30:9b:e4,,-79,,2,32774
5,0.012142000,47:bd:8e:f7:62:f9,,-32,12,0,76
6,0.016058300,2a:1f:fe:78:4b:b1,,-70,,2,6
7,0.023964300,37:27:13:28:f7:99,,-81,,2,6
8,0.029940400,07:cd:e2:2f:91:05,,-61,,2,6
9,0.031300500,70:ad:d5:a1:94:96,TestPhone1,-36,8,0,76
10,0.032381500,60:eb:c6:9b:3b:72,TestPhone2,-37,8,0,76
11,0.051310600,c8:d0:43:be:6a:03,,-79,,0,
12,0.052051800,c8:d0:80:fa:6a:03,,-83,,4,
13,0.055001700,09:42:39:91:98:5f,,-80,,2,76
14,0.056150700,72:70:f7:1e:e2:bb,TestPhone3,-40,8,0,76
15,0.064575700,35:9d:97:55:f8:52,,-84,,2,6
16,0.066954500,65:1d:20:38:ce:c9,TestPhone4,-31,8,0,76
17,0.067983100,16:50:e0:53:3b:bf,,-71,,2,6
18,0.069882200,60:eb:c6:9b:3b:72,TestPhone2,-37,8,0,76
19,0.080802000,64:16:7f:b8:71:ef,,-36,,0,76
20,0.081405000,14:01:2a:23:0e:f8,,-77,,2,6
21,0.094733100,74:fe:08:36:84:c6,,-80,12,0,588
22,0.097773800,6c:94:a5:c7:85:4d,,-80,,0,76
23,0.101955900,65:1d:20:38:ce:c9,TestPhone4,-31,8,0,76
24,0.103800700,70:ad:d5:a1:94:96,TestPhone1,-36,8,0,76
25,0.106133400,60:eb:c6:9b:3b:72,TestPhone2,-37,8,0,76
26,0.108141200,37:b2:9d:30:9b:e4,,-82,,2,6
27,0.110042400,0c:59:66:52:45:c4,,-79,,2,6
28,0.119900400,72:70:f7:1e:e2:bb,TestPhone3,-39,8,0,76
29,0.123981000,68:91:44:d9:9e:63,,-66,8,0,76
30,0.124809400,2a:1f:fe:78:4b:b1,,-71,,2,6
31,0.125878800,0c:11:eb:14:fa:51,,-80,,2,6
32,0.130565200,07:cd:e2:2f:91:05,,-61,,2,6
33,0.138207400,65:1d:20:38:ce:c9,TestPhone4,-31,8,0,76
34,0.138634200,60:eb:c6:9b:3b:72,TestPhone2,-37,8,0,76
