Frame,Time,Source,DeviceName,RSSI,Tx Power,PDU Type,Company
1,0.000000000,80:79:bf:14:a6:db,,-87,,4,
2,0.001686700,46:55:fc:f9:2e:3c,,-79,,0,
3,0.016125600,22:a1:98:7f:71:48,,-77,,2,4102
4,0.020201100,41:8f:92:1e:e1:23,TestPhone2,-37,8,0,76
5,0.027764700,4d:74:c8:db:27:dc,TestPhone4,-29,8,0,76
6,0.035024800,28:dc:c0:3e:47:70,,-75,,2,76
7,0.035374600,70:81:11:60:af:b2,,-70,12,0,76
8,0.036264200,90:dd:5d:e8:64:4b,,-80,,0,76
9,0.045093800,07:5d:6a:a7:2e:79,,-75,,2,6
10,0.067382300,77:6e:06:49:03:e0,TestPhone3,-71,8,0,76
11,0.077516900,18:8b:95:5f:53:15,,-81,,2,76
12,0.090202900,77:22:78:56:f4:63,,-16,,0,
13,0.099488500,62:5e:37:51:ef:21,,-44,12,0,76
14,0.104820700,20:ab:18:4f:33:e9,,-79,,2,6
15,0.113069900,40:99:c7:e5:77:10,TestPhone1,-41,8,0,76
16,0.115026800,90:dd:5d:e7:87:26,,-76,12,0,76
17,0.116125300,22:a1:98:7f:71:48,,-77,,2,6
18,0.150724200,07:5d:6a:a7:2e:79,,-76,,2,6
19,0.151653200,,,-84,,10,
20,0.160265200,4d:74:c8:db:27:dc,TestPhone4,-29,8,0,76
21,0.162703300,41:8f:92:1e:e1:23,TestPhone2,-37,8,0,76
22,0.183657700,29:a6:c8:e3:d9:7d,,-79,,2,6
23,0.184883100,77:6e:06:49:03:e0,TestPhone3,-68,8,0,76
24,0.195266100,4d:74:c8:db:27:dc,TestPhone4,-29,8,0,76
25,0.196454600,41:8f:92:1e:e1:23,TestPhone2,-36,8,0,76
26,0.213585600,20:ab:18:4f:33:e9,,-79,,2,6
27,0.217508100,90:dd:5d:e8:64:4b,,-79,,0,76
28,0.218069300,40:99:c7:e5:77:10,TestPhone1,-41,8,0,76
29,0.218771600,28:dc:c0:3e:47:70,,-76,,2,76
30,0.220500800,22:a1:98:7f:71:48,,-77,,2,6
31,0.221131800,77:6e:06:49:03:e0,TestPhone3,-67,8,0,76
32,0.244149000,dc:5e:e7:36:cc:2f,,-84,,0,
33,0.254882000,77:6e:06:49:03:e0,TestPhone3,-66,8,0,76
34,0.259193700,46:55:fc:f9:2e:3c,,-79,,0,
35,0.260001000,18:8b:95:5f:13:15,,-81,,2,76
36,0.261454500,41:8f:92:1e:e1:23,TestPhone2,-37,8,0,76
37,0.283671100,29:a7:c8:93:d9:7d,,-79,,2,6
38,0.291820500,40:99:c7:e5:77:10,TestPhone1,-41,8,0,76
39,0.294883600,77:6e:06:49:03:e0,TestPhone3,-63,8,0,76
40,0.296263500,90:dd:5d:e7:87:26,,-76,12,0,76
41,0.306625600,70:81:11:60:af:b2,,-70,12,0,76
42,0.322356000,20:ab:18:4f:33:e9,,-79,,2,6
43,0.325500300,22:a1:98:7f:71:48,,-77,,2,6
44,0.330570300,40:99:c7:e5:77:10,TestPhone1,-41,8,0,76
45,0.332559500,53:d5:41:24:e3:c7,,-36,38,0,
46,0.335267300,4d:74:c8:db:27:dc,TestPhone4,-29,8,0,76
47,0.363632600,77:6e:06:49:03:e0,TestPhone3,-65,8,0,76
48,0.366456600,41:8f:92:1e:e1:23,TestPhone2,-37,8,0,76
49,0.373244800,62:5e:37:51:ef:21,,-44,12,0,76
50,0.392441300,29:a7:c8:93:d9:7f,,-79,,2,6
51,0.400010200,28:dc:c0:3e:47:70,,-73,,2,76
52,0.401820900,40:99:c7:e5:77:10,TestPhone1,-41,8,0,76
53,0.402707400,41:8f:92:1e:e1:23,TestPhone2,-37,8,0,76
54,0.405474100,,,-87,,8,
55,0.412238500,80:7e:bf:10:c8:87,,-86,,3,
56,0.429875500,20:ab:18:4f:33:e9,,-79,,2,6
57,0.430500000,22:a1:98:7f:71:48,,-77,,2,6
58,0.435207400,41:8f:92:1e:e1:23,TestPhone2,-37,8,0,76
59,0.441248200,18:8b:95:5f:13:15,,-81,,2,76
60,0.442971200,43:65:2c:0e:69:88,,-86,,3,
61,0.462612800,07:5d:6a:a7:2e:79,,-76,,2,6
62,0.473071900,40:99:c7:e5:77:10,TestPhone1,-41,8,0,76
63,0.478632100,77:6e:06:49:03:e0,TestPhone3,-65,8,0,76
64,0.481259100,90:dd:5d:e7:87:26,,-76,12,0,76
65,0.505268200,4d:74:c8:db:27:dc,TestPhone4,-28,8,0,76
