Frame,Time,Source,DeviceName,RSSI,Tx Power,PDU Type,Company
1,0.000000000,,,-75,,15,
2,0.014859800,62:5e:37:51:ef:21,,-45,12,0,76
3,0.036521300,5e:72:c3:05:70:34,TestPhone4,-31,8,0,76
4,0.041540100,90:dd:5d:e8:64:4b,,-81,,0,
5,0.044832300,41:8f:92:1e:e1:23,TestPhone2,-36,8,0,76
6,0.049545400,40:99:c7:e5:77:10,TertPhone1,-59,8,0,16460
7,0.055814200,7c:ad:68:4d:38:db,TestPhone3,-50,8,0,76
8,0.069070400,04:e4:27:e5:18:76,,-86,,2,6
9,0.074021800,5e:72:c3:05:70:34,TestPhone4,-29,8,0,76
10,0.082046300,40:99:c7:e5:77:10,TestPhone1,-60,8,0,76
11,0.088908100,80:78:bf:12:a6:f3,,-87,,0,
12,0.109021800,5e:72:c3:05:70:34,TestPhone4,-31,8,0,76
13,0.120798000,40:99:c7:e5:77:10,TestPhone1,-58,8,0,76
14,0.127065500,7c:ad:68:4d:38:db,TestPhone3,-50,8,0,76
15,0.142332700,41:8f:92:1e:e1:23,TestPhone2,-36,8,0,76
16,0.142771400,5e:72:c3:05:70:34,TestPhone4,-31,8,0,76
17,0.145165800,07:5d:6a:a7:2e:79,,-75,,2,6
18,0.158298600,40:99:c7:e5:77:10,TestPhone1,-58,8,0,76
19,0.159282400,2d:9b:ed:71:71:df,,-79,,2,6
20,0.160815200,7c:ad:68:4d:38:db,TestPhone3,-50,8,0,76
21,0.165055700,1a:35:4f:89:1b:18,,-79,,2,6
22,0.177772000,5e:72:c3:05:70:34,TestPhone4,-31,8,0,76
23,0.181241800,ec:57:67:3f:f2:2d,,-84,,0,
24,0.183088900,90:dd:5d:e7:87:26,,-76,12,0,76
25,0.184992300,6b:76:18:d3:bd:17,,-86,,2,32878
26,0.191407500,89:78:bf:10:9f:fb,,-86,,0,
27,0.194550300,40:99:c7:e5:77:10,TestPhone1,-59,8,0,76
28,0.211085100,41:8f:92:1e:e1:23,TestPhone2,-35,8,0,76
29,0.211522100,5e:72:c3:05:70:34,TestPhone4,-31,8,0,76
30,0.224030500,90:dd:5d:e8:64:4b,,-81,,0,
31,0.225151700,7e:f7:99:8e:64:4c,,-82,,0,76
32,0.232050800,40:99:c7:e5:77:10,TestPhone1,-58,8,0,76
33,0.233315700,7c:ad:68:4d:38:db,TestPhone3,-50,8,0,76
34,0.244603800,,,-76,,10,
35,0.246522200,5e:72:c3:05:70:34,TestPhone4,-31,8,0,76
36,0.249546800,07:5d:6a:a7:2e:79,,-75,,2,6
37,0.263657300,2d:9b:ed:71:71:df,,-77,,2,6
38,0.271324700,1a:35:4f:89:1b:18,,-79,,2,6
39,0.279834700,41:8f:92:1e:e1:23,TestPhone2,-36,8,0,76
40,0.284869100,62:5e:37:51:ef:21,,-47,12,0,76
41,0.289032300,18:8b:95:df:13:15,,-81,,2,76
42,0.291403100,c0:79:b7:10:ba:fb,,-87,,0,
43,0.297382000,cd:a1:dd:12:c9:94,,-87,,2,
44,0.308316000,7c:ad:68:4d:38:db,TestPhone3,-50,8,0,76
45,0.328080100,28:dc:c0:3e:47:70,,-75,,2,76
46,0.335801700,40:99:c7:e5:77:10,Test@(one1,-60,,0,76
47,0.344834600,41:8f:92:1e:e1:23,TestPhone2,-36,8,0,76
48,0.350962300,8e:55:d9:d5:2d:3b,,-85,,2,
49,0.353373600,29:a7:c8:93:d9:7d,,-79,,2,6
50,0.354021600,5e:72:c3:05:70:34,TestPhone4,-31,8,0,76
51,0.355176700,07:5d:6a:a7:2e:79,,-75,,2,6
52,0.364333100,90:dd:5d:e7:87:26,,-75,12,0,76
53,0.366158300,2d:9b:ed:71:79:df,,-79,,2,6
54,0.367483200,4b:76:59:d1:b4:e7,,-85,,2,
55,0.372052300,40:99:c7:e5:77:10,Testphone1,-59,8,0,76
56,0.375715300,1a:35:4f:89:1b:18,,-78,,2,6
57,0.384021900,5e:72:c3:05:70:34,TestPhone4,-31,8,0,76
58,0.404553100,40:99:c7:e5:77:10,TestPhone1,-60,8,0,76
59,0.418316800,7c:ad:68:4d:38:db,TestPhone3,-47,8,0,76
60,0.438304000,40:99:c7:e5:77:10,TestPhone1,-61,8,0,16460
61,0.446521200,5e:72:c3:05:70:34,TestPhone4,-31,8,0,76
62,0.451085100,41:8f:92:1e:e1:23,TestPhone2,-36,8,0,76
63,0.454012200,29:a7:c8:93:d9:7d,,-79,,2,6
64,0.458307500,07:5d:6a:a7:2e:79,,-75,,2,6
65,0.474018500,18:8b:95:5f:13:15,,-81,,2,76
66,0.474908200,2d:9b:ed:71:71:df,,-79,,2,6
67,0.475805200,41:99:c7:e5:77:18,TestPhone3,-60,8,0,76
68,0.479021300,5e:72:c3:05:70:34,TestPhone4,-31,8,0,76
69,0.483235500,1a:35:4f:89:1b:18,,-80,,2,6
70,0.490816600,7c:ad:68:4d:38:db,TestPhone3,-50,8,0,76
71,0.506574400,23:ed:cb:1d:ec:77,,-85,,2,
72,0.509329500,28:dc:c0:3e:47:70,,-75,,2,76
73,0.512771300,5e:72:c3:05:70:34,TestPhone4,-31,8,0,76
74,0.513306200,40:99:c7:e5:77:10,,-60,,0,
75,0.521086700,41:8f:92:1e:e1:23,TestPhone2,-36,8,0,76
76,0.528316000,7c:ad:68:4d:38:db,TestPhone3,-50,8,0,76
77,0.548082900,90:dd:5d:e7:87:26,,-75,12,0,76
78,0.549021600,5e:72:c3:05:70:34,TestPhone4,-31,8,0,76
79,0.556531400,29:a6:c8:93:d9:7d,,-78,,2,6
80,0.559876300,62:5e:37:51:ef:21,,-47,12,0,76
81,0.562687400,07:5d:6a:a7:2e:79,,-76,,2,6
82,0.574908000,2d:9b:ed:71:71:d7,,-78,,2,6
83,0.575764500,04:d8:84:92:01:35,,-86,,2,
84,0.586087800,41:8f:92:1e:e1:23,TestPhone2,-36,8,0,76
85,0.591514100,90:dd:5d:e8:64:5b,,-82,,0,1132
86,0.596392600,,,-86,,10,
87,0.608316800,7c:ad:68:4d:38:db,TestPhone3,-50,8,0,76
88,0.659050600,29:a7:c8:93:d9:7d,,-78,,2,6
89,0.660807500,41:99:c7:e5:77:10,TertPhone1,-60,8,0,76
90,0.662692300,07:5d:6a:a7:2e:79,,-73,,2,6
91,0.670818100,7c:ad:68:4d:38:db,TestPhone3,-50,8,0,76
92,0.677407800,2d:9b:ed:71:71:df,,-78,,2,6
93,0.695575600,28:dc:c0:3e:47:70,,-76,,2,76
94,0.696398900,1a:35:4f:89:1b:10,,-78,,2,
95,0.699558400,40:99:c7:e5:77:10,TestPhone1,-59,8,0,76
96,0.726520500,5e:72:c3:05:70:34,TestPhone4,-31,8,0,76
97,0.731824700,90:dd:5d:e7:87:26,,-76,12,0,76
98,0.737059200,40:99:c7:e5:77:10,TestPhone1,-60,8,0,76
99,0.758622800,6d:d2:56:27:fd:cc,,-80,,0,
100,0.759421000,6d:d2:56:27:fd:cc,1E Lab display,-79,,4,
101,0.761520100,5e:72:c3:05:70:34,TestPhone4,-30,8,0,76
102,0.762338400,41:8f:92:1e:e1:23,TestPhone2,-36,8,0,76
103,0.774003100,90:dd:5d:e8:60:4b,,-81,,0,76
104,0.775818600,7c:ad:68:4d:38:db,TestPhone3,-50,8,0,76
105,0.777060300,40:99:c7:e5:77:10,TestPhone1,-59,8,0,76
106,0.779282700,2d:9b:ed:71:51:df,,-78,,2,6
107,0.801417800,1a:35:4f:89:1b:18,,-79,,2,6
108,0.812061200,40:99:c7:e5:77:10,TestPhone1,-60,8,0,76
109,0.814569300,7c:ad:68:4d:38:db,TestPhone3,-50,8,0,76
110,0.821573800,23:ed:cb:1d:dc:77,,-81,,2,2054
111,0.829019100,5e:72:c3:05:70:34,TestPhone4,-30,8,0,76
112,0.832383300,62:5e:37:51:ef:21,,-45,12,0,76
113,0.839004300,18:8b:95:5f:13:15,,-82,,2,76
114,0.842061300,40:99:c7:e5:77:10,TestPhone1,-58,8,0,76
115,0.842510700,92:a0:87:1f:a8:c4,,-89,,0,
116,0.866519400,5e:72:c3:05:70:34,TestPhone4,-30,8,0,76
117,0.867214600,29:a7:c8:93:d9:7d,,-79,,2,6
118,0.872339700,41:8f:92:1e:e1:23,TestPhone2,-36,8,0,76
119,0.876453100,07:5d:6a:a7:2e:79,,-73,,2,6
120,0.879907900,2d:9b:ed:71:71:df,,-78,,2,6
121,0.880565200,28:dc:c0:3e:47:70,,-76,,2,76
122,0.890820700,7c:ad:68:4d:38:db,TestPhone3,-50,8,0,76
123,0.900139300,08:7a:bf:16:be:fb,,-87,,0,
124,0.902061600,1a:35:4f:89:1b:18,,-79,,2,6
125,0.903304700,16:b5:2f:2b:de:9b,,-87,,2,
126,0.911208200,0b:77:d9:d1:b4:07,,-81,,2,
127,0.918068200,90:dd:5d:e7:87:26,,-76,12,0,76
128,0.946090800,41:8f:92:1e:e1:23,TestPhone2,-36,8,0,76
129,0.957069500,7c:ad:68:4d:38:db,TestPhone3,-50,8,0,76
130,0.957751000,b0:fd:5d:e8:64:4b,,-82,,0,76
131,0.969018100,5e:72:c3:05:70:34,TestPhone4,-30,8,0,76
132,0.972859200,29:a7:c8:93:d9:7d,,-79,,2,6
133,0.977063400,40:99:c7:e5:77:10,TestPhone1,-57,8,0,76
134,0.982408000,2d:9b:ed:71:51:df,,-79,,2,6
135,0.999018800,5e:72:c3:05:70:34,TestPhone4,-30,8,0,76
136,1.002074500,1a:35:4f:89:1b:18,,-79,,2,6
137,1.009564000,40:99:c7:e5:77:10,TestPhone1,-57,8,0,76
138,1.014871200,6d:d2:56:27:fd:cc,,-81,,0,
139,1.029019400,5e:72:c3:05:70:34,TestPhone4,-30,8,0,76
140,1.030948100,23:6d:cb:1d:dc:77,,-81,,2,32774
141,1.039564500,40:99:c7:e5:77:10,TestPhone1,-57,8,0,76
142,1.040168200,5e:f7:98:9e:64:cc,,-83,,0,76
143,1.054842100,41:8f:92:1e:e1:23,TestPhone2,-36,8,0,76
144,1.064019800,5e:72:c3:05:70:34,TestPhone4,-30,8,0,76
145,1.064570600,7c:ad:68:4d:38:db,TestPhone3,-50,8,0,76
146,1.069565100,40:99:c7:e5:77:10,TestPhone1,-58,8,0,76
147,1.077875600,29:a7:c8:93:d9:7d,,-78,,2,6
148,1.082713400,07:5d:6a:a7:2e:79,,-74,,2,6
149,1.086158000,2d:9b:ed:71:71:df,,-80,,2,6
150,1.097458100,,,-85,,8,
151,1.097770000,5e:72:c3:05:70:34,TestPhone4,-30,8,0,76
152,1.100816200,40:99:c7:e5:77:10,TestPhone1,-48,8,0,76
153,1.103060300,90:dd:5d:e7:87:26,,-76,12,0,76
154,1.104572700,7c:ad:68:4d:38:db,TestPhone3,-50,8,0,76
155,1.107678000,,,-88,,3,
