Frame,Time,Source,DeviceName,RSSI,Tx Power,PDU Type,Company
1,0.000000000,07:40:8d:da:2c:ba,,-78,,2,6
2,0.005441400,5d:55:fd:9d:be:14,TestPhone4,-10,8,0,76
3,0.012932100,60:f2:5d:e6:eb:a5,TestPhone2,-35,8,0,76
4,0.020098600,55:49:ac:a2:1c:e6,,-81,12,0,76
5,0.020945200,65:b7:15:47:c6:48,,-40,12,0,76
6,0.028122400,75:3b:60:53:9f:ab,,-79,,2,6
7,0.030882200,77:91:5b:b2:9e:c5,TestPhone1,-36,,0,76
8,0.032514100,5f:8d:25:bd:9b:0e,TestPhone3,-33,8,0,76
9,0.040456400,39:9f:c7:f6:5a:30,,-64,,2,6
10,0.051072900,06:b1:71:f9:79:b1,,-65,,2,6
11,0.052868100,3e:83:8c:d9:2b:97,,-77,,2,6
12,0.056062000,74:5c:4b:34:03:d8,Jabra Evolve 75e,-53,,0,
13,0.056473200,15:1e:70:00:84:a2,,-63,,2,6
14,0.071265600,5f:8d:25:bd:9b:0e,TestPhone3,-33,8,0,76
15,0.075432900,60:f2:5d:e6:eb:a5,TestPhone2,-33,8,0,76
16,0.080260400,05:37:3d:ec:7e:d6,,-77,,2,6
17,0.088967900,,,-79,,10,
18,0.093614900,,,-84,,10,
19,0.095419400,61:89:7a:4e:60:31,,-64,,0,76
20,0.097321100,16:2b:50:4f:bd:e5,,-73,,2,6
21,0.100884300,77:91:5b:b2:9e:c5,TestPhone1,-36,,0,76
22,0.108772200,07:40:8d:da:2c:ba,,-77,,2,6
23,0.111684000,60:f2:5d:e6:eb:a5,TestPhone2,-33,8,0,76
24,0.135330200,25:bd:9d:7b:5d:c1,,-69,,2,6
25,0.139952300,15:59:5f:51:a6:cd,,-61,,2,6
26,0.144185600,60:f2:5d:e6:eb:a5,TestPhone2,-33,8,0,76
27,0.146696500,5d:55:fd:9d:be:14,TestPhone4,-10,8,0,76
28,0.151093000,06:b1:71:f9:79:b1,,-64,,2,6
29,0.169636600,77:91:5b:b2:9e:c5,TestPhone1,-36,,0,76
30,0.177946000,5d:55:fd:9d:be:14,TestPhone4,-10,8,0,76
31,0.180018900,5f:8d:25:bd:9b:0e,TestPhone3,-33,8,0,76
32,0.193344100,3e:2e:da:ad:c3:04,,-78,,2,
33,0.195069100,7a:50:e9:5a:77:b9,,-58,12,0,76
34,0.195492400,1a:aa:3a:bd:0f:15,,-86,,2,
35,0.198571600,16:2b:50:4f:bd:e4,,-74,,2,6
36,0.200888100,77:91:5b:b2:9e:c5,TestPhone1,-36,,0,76
37,0.211268500,5f:8d:25:bd:9b:0e,TestPhone3,-32,8,0,76
38,0.211917600,07:40:8d:da:2c:ba,,-77,,2,6
39,0.214186700,60:f2:5d:e6:eb:a5,TestPhone2,-33,8,0,76
40,0.233389600,77:91:5b:b2:9e:c5,TestPhone1,-36,,0,76
41,0.241581600,25:bd:9d:7b:5d:c1,,0,,2,
42,0.243088900,15:59:5f:51:a6:cd,,-68,,2,6
43,0.247335900,39:9f:c7:f6:5a:30,,-69,,2,6
44,0.251268600,5f:8d:25:bd:9b:0e,TestPhone3,-33,8,0,76
45,0.254229400,06:b1:71:f9:79:b1,,-64,,2,6
46,0.264603100,15:1e:70:00:84:a2,,-63,,2,6
47,0.276674900,61:89:7a:4e:60:31,,-65,,0,76
48,0.282385400,1a:fe:03:15:40:da,,-65,,2,6
49,0.284637600,05:37:3d:ec:7e:d6,,-75,,2,6
50,0.285438200,60:f2:5d:e6:eb:a5,TestPhone2,-32,8,0,76
51,0.290099400,55:49:ac:a2:1c:e6,,-82,,0,
52,0.294683300,65:b7:15:47:c6:48,,-39,12,0,76
